job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
19,18,11.4494636972589,0,2,3,12,0,7,100,4785,3,4,14,121,168,7.500529485395295,1.9021075263969205,0
20,9,11.807064148575362,2,2,2,13,1,6,0,1720,1,3,13,172,225,6.876264611890766,2.2617630984737906,0
21,6,11.538105763500527,2,2,3,19,1,19,0,12704,1,2,0,113,159,6.437751649736401,2.302585092994046,5
22,13,11.506726289727407,0,3,0,7,2,7,0,3836,3,7,0,437,481,7.395721608602045,1.9315214116032138,13
23,2,10.862205390050178,2,2,2,1,1,9,100,3185,2,4,13,158,160,7.739794458408701,2.2300144001592104,4
24,13,10.895312382020649,2,2,2,3,2,3,0,3,1,2,7,300,307,6.913737350659685,2.0014800002101243,0
25,19,11.606224532935046,2,3,3,10,0,10,100,5810,3,6,6,213,260,7.044032897274685,2.174751721484161,6
26,13,11.301945140781825,2,2,0,0,2,8,50,3903,2,2,9,322,368,7.653969180478774,2.0412203288596382,15
27,8,10.877990587158619,2,2,3,1,1,14,0,6809,3,2,6,375,401,7.650168700845001,2.151762203259462,12
28,12,10.664737208297877,2,0,0,9,1,9,50,9007,3,0,7,281,309,7.690286020676768,2.151762203259462,5
29,13,11.315486209444275,2,2,0,10,0,10,100,730,2,2,11,17,40,7.10002716662926,1.840549633397487,9
30,12,11.1197050832785,0,0,2,12,1,12,100,1791,2,1,11,136,192,6.787844982309579,1.791759469228055,1
31,18,11.136397606756661,2,0,2,4,1,4,0,765,2,1,10,30,52,7.554858521040676,2.2192034840549946,4
32,19,11.897180555873486,2,3,2,17,2,17,50,7380,3,7,10,240,248,6.52795791762255,1.667706820558076,5
33,13,12.090566391039395,2,1,1,5,1,5,0,12296,0,16,2,60,63,7.52294091807237,1.7404661748405046,12
34,11,11.924134047705458,2,3,1,16,0,14,0,9446,3,8,1,299,344,7.315883504509785,2.066862759472976,14
35,12,11.751485568211372,2,1,0,5,0,12,0,3180,0,10,4,30,41,7.13966033596492,2.2925347571405443,3
36,0,10.892136154599985,2,2,3,11,1,11,100,1696,0,2,13,290,301,6.905753276311464,1.8082887711792655,15
37,19,11.620712035375936,2,1,0,10,2,10,0,5970,2,18,6,13,56,6.937314081223682,2.0918640616783932,3
38,5,10.631760535071448,2,0,3,3,1,3,50,12363,1,1,7,166,195,7.750614732770409,2.0794415416798357,9
39,9,12.020224878959661,0,1,1,12,0,12,100,928,0,15,6,60,106,6.7226297948554485,1.62924053973028,7
40,10,11.482012546326754,2,2,2,19,1,3,0,1313,1,2,13,54,53,6.634633357861686,1.667706820558076,6
41,0,12.190725477916093,2,3,1,19,0,19,50,4552,1,8,4,441,456,7.736307096548285,2.0149030205422647,6
42,5,10.946322825735239,2,0,3,5,0,5,100,11697,0,1,13,397,451,6.218600119691729,1.7047480922384253,13
43,15,11.63916156151537,2,3,2,14,1,14,50,3768,0,8,11,114,148,7.155396301896734,2.0794415416798357,0
44,13,11.975451204360006,0,3,3,12,1,12,50,2394,1,5,9,427,473,7.563200592358071,2.0014800002101243,9
45,3,12.070613682048315,2,3,0,19,1,14,50,1692,0,7,9,9,66,7.048386408721883,1.6863989535702288,7
46,3,10.75263370378095,2,0,0,8,2,8,50,11027,3,1,8,320,337,7.60688453121963,2.272125885509337,13
47,4,11.142151596651994,2,2,1,3,0,3,0,4263,1,4,3,248,283,7.367708572374371,2.174751721484161,15
48,1,11.735036483405786,2,1,1,1,1,5,50,3663,3,19,9,434,487,7.349873704738337,2.0794415416798357,3
49,0,11.161820693064698,0,2,2,7,2,7,0,2013,3,4,6,228,277,7.587817219993427,2.2192034840549946,15
50,18,11.655951639156541,2,1,2,8,1,8,100,6037,2,17,12,71,89,7.614805364711073,1.7047480922384253,3
51,18,11.576641773183376,2,2,3,19,2,19,100,2475,0,3,5,54,107,7.614805364711073,1.6863989535702288,5
52,10,11.814732311467406,2,3,3,13,2,13,100,9683,3,8,1,188,237,7.105786129481271,2.0149030205422647,6
53,18,11.121466806965952,2,2,3,10,2,10,50,9147,2,4,9,217,223,7.446585099157725,2.151762203259462,13
54,0,11.390418790477431,2,2,3,2,0,2,0,651,0,3,10,210,255,7.331714969726466,2.2082744135228043,3
55,6,11.288067945651683,2,2,1,8,0,8,100,8341,0,4,0,271,284,7.1891677384203225,1.7227665977411035,3
56,14,11.007070798829838,2,0,3,10,0,10,100,3312,3,0,4,446,471,7.534762657037537,1.8870696490323797,1
57,14,11.357966124932085,0,2,2,7,1,7,0,7508,0,4,14,39,50,6.675823221634848,2.066862759472976,0
58,4,11.610251792799726,1,3,1,18,2,6,0,9834,0,8,9,79,110,7.573017256052546,2.1972245773362196,15
59,10,10.80699695004555,2,0,2,3,1,3,0,12545,0,1,4,173,211,7.553286605600419,2.302585092994046,12
60,10,11.997177107481166,2,3,3,13,2,13,50,12762,1,6,4,156,167,7.446585099157725,1.824549292051046,11
61,1,11.53646619488621,2,2,3,17,1,17,0,13200,3,3,2,82,139,7.695757990554761,1.7578579175523736,14
62,4,11.51264542576291,2,2,3,0,1,2,50,4681,3,4,12,50,59,6.683360945766275,1.8718021769015913,4
63,9,11.068651958695275,2,0,0,15,0,15,0,4386,1,0,8,349,392,6.812345094177479,1.9600947840472698,10
64,5,11.384387299697012,2,3,2,9,2,9,100,6992,3,8,2,349,393,6.230481447578482,2.0918640616783932,10
65,6,11.176123173887033,2,2,1,10,0,10,0,10216,0,4,11,244,287,7.050122520269059,2.2512917986064953,1
66,15,11.1907761636362,0,0,3,7,1,7,100,4022,1,0,5,242,243,6.368187186350492,2.2617630984737906,13
67,17,11.268788077151783,0,2,2,6,0,6,100,6407,0,3,12,304,334,6.306275286948016,2.163323025660538,5
68,16,10.857208934818349,2,2,1,10,1,14,100,154,1,4,7,44,77,6.815639990074331,2.1041341542702074,11
69,6,11.71856470583355,0,3,1,6,2,6,100,7704,2,7,10,151,155,6.634633357861686,2.128231705849268,2
70,15,11.734627978488033,2,2,1,13,2,13,50,7064,0,3,10,214,259,7.638679823876112,2.2925347571405443,5
71,6,11.807086503519718,1,3,3,18,2,18,50,6065,3,9,11,333,359,7.78155595923534,2.0541237336955462,10
72,9,10.857459351377972,2,0,3,16,2,5,100,11272,3,0,1,463,483,7.48324441607385,2.066862759472976,8
73,9,10.940703046338914,2,0,1,14,1,14,100,6804,2,0,3,320,375,7.2196420401307355,1.6486586255873816,7
74,2,12.272716760847633,2,1,2,2,2,2,100,5570,1,16,3,262,264,7.776115477098742,2.2192034840549946,13
75,13,10.997556201154365,2,2,1,10,1,10,50,6595,0,2,4,161,210,7.2078598714324755,2.0149030205422647,6
76,7,11.690502450733426,2,3,0,8,0,8,0,11104,3,6,12,110,144,6.915723448631314,1.840549633397487,3
77,8,11.967796420691743,0,1,0,6,0,6,50,3277,1,17,8,243,243,6.459904454377535,2.128231705849268,11
78,13,12.1906645481275,2,1,0,0,0,0,100,9891,2,19,5,91,91,6.716594773520978,2.0149030205422647,15
79,15,12.243117917202524,2,1,0,2,1,2,0,7061,3,10,3,35,55,7.73718007783463,1.9021075263969205,5
80,16,11.139511197027199,2,2,1,16,2,16,50,4747,3,3,0,171,209,6.6895992691789665,2.0014800002101243,15
81,13,11.74138287270818,2,1,1,5,0,5,100,2364,3,13,13,170,219,6.6293632534374485,2.128231705849268,15
82,16,11.200595445597218,2,0,2,4,1,4,50,3328,0,0,4,195,236,6.519147287940395,1.8562979903656263,10
83,6,10.413733008037052,2,0,0,10,2,8,50,10246,1,0,8,471,516,7.095893221097532,2.1162555148025524,9
84,5,11.155021194290347,2,0,2,19,2,19,100,9662,0,0,14,411,455,7.324489979348532,1.9459101490553132,14
85,17,11.932411814440647,0,1,1,6,1,6,50,11864,2,11,0,140,180,7.165493475060845,1.9315214116032138,0
86,4,11.26464357674532,0,0,0,6,0,6,50,7651,3,0,10,323,326,6.734591659972948,1.916922612182061,8
87,18,10.78861780016066,2,0,3,2,2,2,100,4171,1,0,0,434,484,7.044032897274685,1.7404661748405046,12
88,8,11.492692144939246,0,3,0,6,2,6,50,4067,3,8,12,170,182,7.791109510610028,1.791759469228055,2
89,17,11.762446063077174,2,3,1,14,2,14,0,1101,1,9,4,481,516,7.806696372521179,1.9315214116032138,11
90,3,11.622030959432925,2,2,1,19,0,19,0,4428,3,3,10,60,113,7.1693500166706,2.2512917986064953,12
91,15,11.841833450356237,2,1,3,2,2,2,50,6058,2,19,2,191,243,7.351799869057777,2.186051276738094,7
92,16,11.499718637482946,2,3,2,10,1,10,50,12179,1,8,8,100,108,6.393590753950631,2.151762203259462,5
93,8,11.599369180870784,0,3,2,6,2,6,0,5513,1,6,12,460,514,7.6251071482389,1.8082887711792655,12
94,16,11.34801544379571,2,2,2,2,1,2,0,2066,2,4,10,338,353,7.554334823725748,1.824549292051046,10
95,3,12.18429216356835,2,3,0,19,0,19,0,157,3,8,14,110,158,6.82001636467413,2.163323025660538,1
96,2,12.172764021486433,2,3,2,13,0,13,100,10929,0,9,1,367,420,6.361302477572996,1.8870696490323797,5
97,2,11.838380087107954,2,1,3,10,0,10,100,490,0,16,6,24,79,7.432483807917119,2.2512917986064953,14
98,8,11.424935427430364,0,2,0,12,1,12,100,11706,1,3,14,26,43,6.755768921984255,1.8718021769015913,2
99,7,11.43900978202006,2,2,2,16,2,16,0,10518,3,3,10,202,255,6.55250788703459,1.667706820558076,8
100,9,12.270393955579124,1,1,2,18,2,18,100,12848,2,13,7,427,443,7.004881989712859,1.840549633397487,4
101,16,11.037643932062444,2,2,2,11,2,11,0,3528,1,2,1,258,296,7.6787889981991535,2.0918640616783932,0
102,3,11.935955404257864,2,1,1,15,0,18,50,1543,0,16,0,27,61,6.306275286948016,2.1972245773362196,15
103,13,11.462526507386377,2,2,2,13,1,13,100,13175,0,2,11,79,95,7.739794458408701,1.8718021769015913,12
104,11,11.370785697809106,0,2,1,6,2,6,100,4690,3,2,6,347,405,7.242082359256962,1.9600947840472698,0
105,5,11.070708194329034,2,2,3,10,1,10,0,7561,2,2,14,247,268,7.776954403322442,2.174751721484161,15
106,15,12.232505206945913,2,1,3,19,2,19,100,1001,1,18,2,67,118,7.406103381237015,1.8870696490323797,12
107,0,12.017789352851898,0,1,0,6,2,6,50,12985,0,18,6,133,161,6.8308742346461795,2.0541237336955462,11
108,7,11.64970906343566,0,3,0,6,1,6,100,10622,1,9,13,77,95,7.352441100243583,2.1041341542702074,2
109,10,11.871641324822503,0,3,1,6,0,6,50,7077,2,6,10,72,115,7.063903961472068,2.2082744135228043,8
110,15,11.663721954356326,0,3,1,7,2,7,50,786,1,7,12,226,234,6.410174881966167,2.066862759472976,9
111,16,11.019530376267122,2,0,1,19,1,9,100,9324,1,0,11,155,182,7.544861068658458,1.9315214116032138,3
112,13,10.825819996456426,2,0,2,1,0,1,100,5442,2,0,5,223,260,7.608374474380783,1.9459101490553132,6
113,8,11.090873553257666,2,3,1,9,2,9,50,7921,0,7,11,295,295,6.453624998892692,2.2925347571405443,14
114,4,12.350510594846495,2,1,1,14,1,14,50,6553,1,17,1,105,139,6.664409020350408,2.028148247292285,11
115,2,11.577148311287747,2,3,2,0,1,15,100,6145,1,9,0,138,161,7.1252830915107115,1.7047480922384253,2
116,5,11.70503232249898,2,3,1,1,0,1,0,3108,2,9,9,371,382,6.415096959171596,1.9459101490553132,13
117,17,11.07490100747803,2,0,3,3,0,12,50,3536,3,0,11,450,453,7.405495663199472,1.9459101490553132,14
118,14,11.741287376925836,2,2,0,14,0,14,50,9121,3,4,0,171,222,7.10002716662926,1.916922612182061,6
119,15,12.113271814674631,2,1,2,1,0,1,0,2106,3,14,12,474,484,7.794411205726601,2.1972245773362196,7
120,15,11.675962260352316,2,2,1,4,0,4,0,7969,3,4,14,54,61,7.555905093611346,2.2300144001592104,11
121,9,11.872318710975957,2,1,2,15,2,15,0,2413,2,11,7,359,374,7.262628600974241,2.128231705849268,9
122,2,12.22193615211834,2,3,2,4,0,4,50,12189,2,5,1,338,361,7.3752557780097545,2.028148247292285,7
123,18,11.148894963697071,2,0,0,17,2,17,0,4927,2,0,14,308,321,7.509335266016592,2.0412203288596382,10
124,2,11.46869140597298,2,1,1,9,2,9,0,2836,0,17,12,236,243,7.2909747781429814,2.0918640616783932,11
125,4,10.992133676892388,2,0,1,1,0,1,100,11767,1,1,1,442,452,6.891625897052253,1.791759469228055,14
126,5,11.788707006163621,0,3,3,12,1,5,0,321,3,5,12,215,273,7.744136627627991,2.066862759472976,0
127,4,10.665110804398145,2,0,3,15,0,6,0,9270,1,0,9,426,439,6.289715570908998,2.1972245773362196,10
128,6,11.033162366656056,2,0,2,2,1,2,50,12170,0,1,1,87,106,7.257707677160043,1.6486586255873816,12
129,13,11.86210942139028,0,1,0,6,1,6,0,3694,3,13,9,399,404,7.666690200080086,1.7578579175523736,2
130,2,12.414500449408608,1,1,3,18,1,18,50,968,2,11,2,381,396,6.70073110954781,2.2082744135228043,5
131,16,10.80942487233079,2,2,2,5,2,5,0,3844,0,2,12,221,244,6.812345094177479,2.0541237336955462,4
132,19,12.060561206429817,2,3,3,13,2,8,100,1188,1,8,8,363,365,7.396335293800808,2.028148247292285,14
133,1,11.210386912841766,0,2,0,6,1,6,50,8012,1,4,1,220,240,6.975413927455952,1.6486586255873816,8
134,17,11.716665989137484,2,3,2,16,2,8,50,5652,0,9,9,370,394,7.074116816197362,1.6486586255873816,8
135,10,11.456122282145918,2,2,1,4,2,4,100,8069,3,4,11,144,161,6.226536669287466,2.128231705849268,2
136,6,10.87970619299017,2,0,3,1,1,1,50,2660,3,1,4,467,514,7.644919344958857,2.1972245773362196,10
137,15,11.66144891301396,2,2,2,4,1,0,0,10347,2,3,0,266,288,6.48768401848461,2.066862759472976,12
138,11,10.47990426829258,2,0,0,3,2,3,0,8515,1,0,9,68,82,7.502186486602924,1.840549633397487,0
139,2,11.912057226377664,2,1,2,1,2,1,0,2719,2,17,9,321,345,6.480044561926653,1.7047480922384253,14
140,17,11.38770232021615,2,2,2,1,0,1,0,12859,0,4,2,142,193,7.592870287844818,2.028148247292285,7
141,3,12.323495616371002,2,1,1,0,1,17,100,5005,0,19,2,336,374,6.814542897259958,1.7404661748405046,15
142,15,12.303376291605101,0,1,3,12,2,12,100,10011,0,12,8,89,90,7.492760300922379,2.2925347571405443,15
143,16,10.79673481124167,2,0,3,5,2,5,100,2800,1,0,7,185,208,6.93828448401696,2.0918640616783932,7
144,5,11.659973840178967,2,3,1,19,2,19,0,12939,3,7,7,298,330,7.27655640271871,1.9740810260220096,13
145,16,10.95546235835288,2,2,1,9,1,9,0,1109,1,3,9,223,223,6.980075940561763,1.9878743481543455,11
146,11,11.10321134257265,2,2,0,0,2,10,0,3617,0,2,6,111,129,7.259116128097101,2.2082744135228043,3
147,8,12.126147014336253,2,1,3,16,2,16,100,9740,1,11,6,143,175,7.73718007783463,1.7047480922384253,10
148,3,11.434369152064454,0,2,0,12,1,5,50,6019,1,4,12,295,343,6.716594773520978,2.2192034840549946,6
149,15,10.95759050121828,2,0,1,2,0,2,0,8425,0,1,1,11,27,7.428927194802272,2.1162555148025524,14
150,12,10.885079014992419,2,2,3,3,1,3,0,2155,3,2,6,173,197,7.707062655370473,2.2512917986064953,2
151,3,11.469140752599207,2,3,0,5,2,5,50,3577,3,6,9,78,80,7.501634457883413,2.0014800002101243,8
152,16,11.964580534251304,2,2,1,13,0,13,0,8586,3,2,14,428,433,6.90975328164481,2.0412203288596382,6
153,13,12.226580906161525,2,3,1,13,0,13,100,3942,3,8,13,346,353,7.416378479192928,2.2512917986064953,3
154,4,12.156430618628692,0,1,0,12,1,12,100,2531,3,12,6,143,188,6.255750041753367,2.2925347571405443,8
155,17,12.19805559468633,2,1,1,4,1,10,50,1633,0,15,9,73,96,6.8501261661455,2.2082744135228043,8
156,18,11.938454604114135,2,3,0,2,0,2,50,10702,1,7,8,176,220,7.013915474810528,2.1041341542702074,3
157,4,10.857035532765991,2,2,1,10,2,10,0,1967,0,2,1,278,315,6.580639137284949,2.186051276738094,10
158,0,11.654346899192012,0,3,1,7,2,12,0,9330,0,7,2,191,232,7.767263996757308,1.7404661748405046,1
159,13,12.044371028999967,2,3,3,19,0,4,50,9036,1,5,12,395,436,6.359573868672378,2.2617630984737906,9
160,13,11.064448466268773,2,0,0,2,0,2,100,6237,2,0,5,214,256,7.793174347189205,2.2512917986064953,3
161,16,11.73728427755524,2,2,0,13,1,13,100,12821,3,3,11,223,228,7.761319180947987,1.8870696490323797,14
162,4,11.027962500729965,2,0,0,15,0,15,50,5675,1,0,7,200,236,7.818027938530729,1.9600947840472698,6
163,12,11.523410306412503,0,2,0,7,1,10,50,12253,2,3,14,5,41,6.893656354602635,2.1400661634962708,3
164,9,11.886934305120167,2,1,0,2,2,2,100,11639,2,13,9,237,240,6.529418838262226,2.2617630984737906,7
165,11,12.119882749214701,2,1,2,14,2,14,100,10837,2,19,5,324,351,6.726233402358747,2.0412203288596382,3
166,2,11.626227364204203,2,2,0,14,0,14,100,7962,3,2,12,439,454,7.336285660021297,1.8870696490323797,11
167,5,12.27464209405294,1,1,3,18,1,16,100,12393,1,19,8,437,451,7.134093721192866,1.6486586255873816,14
168,4,11.442621019460265,2,3,3,8,1,18,50,9207,2,9,8,373,384,7.295735072749282,2.2300144001592104,10
169,11,11.317020064101877,0,0,3,7,0,7,100,12273,2,1,14,313,342,6.755768921984255,1.9459101490553132,14
170,4,11.916181468135202,0,3,3,7,1,7,50,10949,0,9,11,305,312,7.736743682453495,1.824549292051046,12
171,4,10.947731648720744,2,2,3,3,1,3,50,5672,0,3,6,192,199,7.741099090035366,2.2512917986064953,0
172,18,11.78778821995975,2,2,2,4,0,4,50,5071,3,2,8,69,91,6.5722825426940075,2.1041341542702074,15
173,16,12.006663931212518,2,3,1,13,0,13,50,11195,3,7,13,263,281,7.45182223652793,2.1400661634962708,2
174,1,11.202056645543111,2,2,0,8,0,8,0,1740,1,2,12,393,402,7.469083884921234,1.7047480922384253,4
175,17,10.857208934818349,2,2,0,15,1,15,50,11955,0,3,12,280,325,7.162397497355718,2.1162555148025524,6
176,16,12.090886235721056,0,1,1,12,2,12,50,9066,1,12,10,152,181,7.8083230503910555,2.1400661634962708,3
177,15,11.329315077991344,2,3,2,9,2,10,0,10057,2,7,12,323,352,7.112327444710911,2.066862759472976,1
178,2,10.757796492054402,2,0,2,1,2,1,100,7812,2,1,4,188,198,7.10002716662926,1.7749523509116738,6
179,2,11.667396093608406,2,2,0,2,0,2,100,10474,1,2,4,89,90,7.3395376954076745,2.2823823856765264,3
180,5,11.49701963528645,2,0,3,19,0,19,0,4646,3,0,14,143,173,6.511745329644728,2.2407096892759584,4
181,15,12.256047821581316,2,1,3,13,1,14,100,6711,2,15,5,354,396,7.105786129481271,1.8562979903656263,10
182,16,11.122959620308988,2,2,1,15,2,6,0,7337,2,3,8,161,186,7.239214973779806,2.028148247292285,2
183,9,11.4699762094338,2,1,1,1,2,1,100,9295,2,13,1,288,344,7.566828479208331,1.7578579175523736,1
184,12,12.341905138591173,2,1,3,4,0,3,50,7916,2,17,6,31,69,7.602900462204755,2.1400661634962708,12
185,13,11.80783138251133,2,1,0,9,2,9,50,4627,2,11,2,195,244,7.65491704784832,1.6094379124341003,12
186,5,11.217318741922304,2,0,0,0,1,13,100,12835,0,1,0,219,252,6.943122422819428,2.066862759472976,10
187,0,12.215879401720558,0,1,2,12,1,0,0,4793,3,13,12,198,239,6.898714534329988,1.916922612182061,9
188,4,12.104947592069934,0,1,0,6,2,6,100,2987,2,17,5,413,425,7.126087273299125,2.028148247292285,0
189,17,10.812632816249412,2,0,0,3,0,2,100,5978,1,0,4,411,435,7.725771441587952,1.7047480922384253,9
190,2,11.397682949457952,2,3,0,15,1,15,50,6520,2,7,3,446,489,6.52795791762255,1.840549633397487,11
191,4,10.559451941968357,2,0,3,1,2,1,0,5885,0,1,12,394,408,7.670428522190693,2.028148247292285,14
192,2,12.102111150786055,2,3,2,19,0,19,50,12957,2,7,13,44,82,7.444833273892193,1.840549633397487,9
193,19,10.943499211400042,0,0,2,12,2,12,0,6376,2,1,5,298,302,7.4067107301776405,1.8082887711792655,4
194,5,11.55158833024762,2,3,1,16,1,16,0,12178,3,5,2,403,415,7.400009517162692,1.7047480922384253,14
195,6,12.078290409076505,1,3,1,18,0,18,50,7942,1,9,0,55,75,7.727535110475448,1.8870696490323797,13
196,5,10.98624142526978,2,2,0,9,1,9,50,11288,0,2,7,235,276,7.724004656676065,1.791759469228055,12
197,1,11.250781176306287,2,2,2,1,1,1,0,379,0,3,14,453,501,7.5745584842024805,2.0149030205422647,5
198,14,11.611330849681856,1,3,0,18,1,2,0,11616,3,7,11,444,478,7.7102051944325325,1.7227665977411035,14
199,10,11.541726698775856,1,2,1,18,0,18,0,8927,0,4,6,165,171,6.650279048587422,2.0014800002101243,8
200,15,10.694895102263592,2,0,2,11,2,17,0,8390,2,0,12,326,339,7.753623546559746,2.163323025660538,6
201,9,11.760660160312415,2,3,0,14,0,14,100,6769,0,5,13,330,370,7.663407664893479,2.2300144001592104,13
202,8,10.797369062897154,0,0,0,6,1,9,100,6007,1,0,1,281,328,7.738923757439457,1.8870696490323797,6
203,18,11.755699079672715,1,2,0,18,0,18,50,4350,2,4,14,450,469,7.822044008185619,2.0541237336955462,6
204,3,11.51815178394181,2,3,1,5,1,5,0,8674,3,6,5,88,130,7.149916836132109,1.7227665977411035,15
205,11,10.723905946624765,2,0,2,11,0,12,0,2560,0,0,5,257,258,7.5251007461258,1.916922612182061,2
206,13,11.039106566833333,2,2,2,1,0,6,100,9731,1,4,7,443,447,7.213768308118642,2.2407096892759584,0
207,5,11.135974924760266,2,2,2,3,2,3,50,773,2,4,8,29,44,7.577633832602728,2.0149030205422647,10
208,19,10.741881605701801,2,0,0,3,1,3,0,6297,0,1,6,470,500,6.74993119378857,2.066862759472976,6
209,16,10.996148835710798,2,0,3,0,1,0,0,9420,0,0,1,110,132,6.470799503782602,2.163323025660538,9
210,17,10.895998310321692,2,2,3,5,1,5,0,7763,2,3,13,196,213,7.244941546337007,2.272125885509337,8
211,7,11.460515758152484,0,0,3,12,0,12,50,122,0,1,10,426,453,7.565793282428515,2.1400661634962708,3
212,6,11.42530663078856,2,3,0,10,0,10,0,7915,0,5,4,251,301,7.541683099882111,1.9459101490553132,8
213,0,11.654971752762291,1,2,1,18,0,18,50,6767,1,3,4,390,403,7.260522598089852,1.9315214116032138,10
214,18,10.856727188188485,2,2,0,3,2,3,50,11268,0,3,12,37,67,7.229113877793302,2.1972245773362196,13
215,10,11.3150962841344,0,2,3,7,1,2,100,4643,2,2,0,475,494,7.106606137727303,1.8082887711792655,12
216,13,11.714485764617212,2,3,1,2,0,2,0,10406,3,5,11,404,416,6.220590170099739,1.7404661748405046,5
217,2,11.980695351268734,2,3,3,19,2,19,100,1470,2,5,5,26,47,6.85751406254539,1.667706820558076,8
218,18,12.414500449408608,1,1,1,18,1,18,50,4028,1,15,14,68,70,7.335633981927201,2.2407096892759584,7
219,8,10.859518093579142,2,2,3,15,1,15,100,5221,2,2,11,108,123,7.618742377670413,1.7404661748405046,14
220,19,10.6706284130044,2,0,3,8,2,18,100,2351,0,0,3,380,419,6.551080335043404,2.1162555148025524,9
221,18,11.373789826425874,0,2,1,6,0,8,50,12513,3,4,5,454,483,7.72356247227797,2.1400661634962708,9
222,3,10.51145803568848,2,0,1,3,2,3,100,752,2,1,9,284,303,7.101675971619444,2.2192034840549946,0
223,12,11.349194035986073,2,2,0,9,0,9,0,12970,0,3,8,280,331,7.809135398120538,1.7749523509116738,15
224,3,12.065884862497752,2,3,1,19,1,19,100,12778,1,5,6,400,435,7.786967002614872,1.62924053973028,11
225,13,10.991325337480562,2,0,2,15,0,10,0,7421,2,0,14,81,88,7.717351272185329,2.1400661634962708,7
226,10,10.847996382484268,2,0,1,1,1,18,100,11193,0,0,14,171,186,7.793174347189205,2.163323025660538,8
227,6,11.477360461560023,2,3,2,9,2,9,100,4172,3,5,4,184,193,7.667158255319148,2.151762203259462,4
228,8,10.988643036517628,2,0,2,2,2,17,50,5868,2,1,8,482,510,7.60489448081162,1.7227665977411035,2
229,14,12.31831592056394,0,1,1,7,2,7,0,3598,3,12,2,453,498,7.1459844677143876,1.9878743481543455,14
230,11,11.216162283782255,0,0,2,6,0,6,0,4182,1,1,5,350,358,7.644919344958857,2.066862759472976,1
231,18,11.701469289907028,2,2,1,19,1,12,50,12996,0,2,11,182,227,7.528331766707247,1.8718021769015913,5
232,16,11.836544017226315,2,1,2,5,2,5,50,3687,2,15,9,49,69,7.069874128458572,1.7227665977411035,9
233,19,12.201256064404575,2,1,3,2,2,2,0,3147,2,15,10,262,274,7.356279876550748,1.824549292051046,0
234,5,11.568350711075638,2,3,1,14,2,16,0,11530,3,6,7,407,432,6.385194398997726,1.8870696490323797,0
235,18,10.558335595161871,2,0,1,11,2,11,100,8803,1,0,1,430,479,7.622174594817622,2.0412203288596382,6
236,2,11.05312559980728,2,2,0,11,2,11,100,9352,0,3,8,343,389,7.415776975415394,1.6486586255873816,8
237,5,11.383625108873522,2,3,0,1,0,18,100,3601,2,9,13,398,456,6.80903930604298,2.2082744135228043,0
238,18,12.414500449408608,2,1,0,19,1,0,0,10672,1,18,13,102,144,7.615298339825815,1.9878743481543455,6
